start_time,sum_danger_score
0,0
6.44,3.8
8.98,8.0
12.36,9.0
14.86,13.3
17.32,14.5
19.54,15.5
22.8,16.5
26.12,17.7
28.26,18.7
30.0,20.0
33.84,21.3
38.88,21.3
41.78,22.5
44.58,25.5
48.86,29.8
52.3,29.8
55.38,29.8
59.82,30.8
65.36,31.8
69.96,33.0
72.68,34.0
76.42,34.0
82.54,34.0
84.94,35.0
90.22,36.5
92.84,36.5
95.9,37.5
100.78,38.5
103.02,42.5
105.94,46.5
109.08,47.5
111.26,48.5
113.34,49.6
117.96,50.9
121.76,50.9
124.32,52.1
128.12,55.1
132.42,59.4
135.72,59.4
139.34,59.4
143.26,60.4
146.86,61.4
152.86,62.6
156.7,63.6
160.28,63.6
165.72,63.6
168.66,64.6
183.86,65.6
186.44,66.6
189.76,68.1
193.4,69.1
197.54,70.1
201.4,71.1
207.06,72.3
211.98,73.3
215.2,73.3
221.3,73.3
223.96,74.3
241.66,75.3
245.06,76.3
250.98,77.5
255.08,78.5
258.48,78.5
264.68,78.5
267.08,79.5
267.08,80.5
306.28,81.5
307.8,82.5
310.16,83.5
312.52,84.5
316.36,88.8
322.56,89.8
324.2,92.8
328.0,93.8
330.96,97.0
335.64,98.0
339.32,102.3
340.5,103.3
352.4,104.3
354.56,108.3
359.48,109.3
361.88,110.6
364.48,111.6
367.89,112.6
370.76,113.6
373.8,117.6
375.84,118.9
378.6,119.9
381.08,119.9
388.76,120.9
391.68,120.9
394.4,122.4
398.0,123.4
401.68,124.4
404.56,125.4
405.83,126.4
407.76,126.4
411.48,127.9
414.72,128.9
418.32,129.9
422.07,130.9
425.28,131.9
430.12,132.9
436.64,133.9
439.96,133.9
450.48,134.9
456.24,135.9
467.84,136.9
472.48,138.2
478.28,139.2
481.04,140.2
485.03,141.2
486.28,142.2
487.84,143.2
492.44,144.2
495.8,145.2
499.12,146.2
502.24,147.2
504.04,148.7
508.02,149.7
511.0,149.7
513.52,150.7
516.24,150.7
521.36,151.7
525.72,152.7
535.8,153.7
538.96,154.7
542.32,155.7
544.16,156.7
546.44,157.7
547.72,158.7
551.92,159.7
553.92,160.7
558.04,161.7
561.72,165.5
568.64,166.5
572.56,167.5
584.12,168.5
586.36,169.5
596.88,170.5
603.27,171.5
605.51,172.5
614.02,173.5
614.25,174.5
617.51,175.5
619.91,176.5
623.31,180.3
626.95,183.3
630.31,187.3
637.39,190.8
641.31,191.8
643.47,192.8
645.11,193.8
650.31,193.8
654.59,194.8
657.23,194.8
658.95,196.3
660.63,197.5
664.95,199.0
669.27,200.0
672.26,201.0
674.71,202.5
678.23,202.5
681.59,206.0
688.63,207.0
690.33,208.0
691.83,209.0
695.71,210.0
699.51,211.0
701.79,212.0
703.31,213.0
708.59,213.0
712.87,214.0
715.47,214.0
717.23,215.5
718.87,216.7
723.95,216.7
729.07,219.7
734.79,220.9
740.16,221.9
741.59,222.9
746.91,223.9
748.47,224.9
754.87,225.9
758.78,226.9
770.35,227.9
776.35,227.9
781.47,228.9
784.11,228.9
785.79,230.4
787.47,231.6
795.27,235.4
802.11,236.9
808.07,237.9
811.49,238.9
814.79,239.9
839.41,242.9
843.09,243.9
845.69,244.9
853.33,245.9
856.97,246.9
858.57,247.9
860.73,248.9
863.01,249.9
868.41,250.9
870.41,251.9
873.69,252.9
876.33,253.9
879.15,254.9
880.97,255.9
883.81,256.9
888.65,257.9
890.81,258.9
894.73,259.9
897.37,260.9
899.29,261.9
902.89,262.9
905.65,263.9
907.8,264.9
910.33,265.9
913.85,266.9
917.89,267.9
919.73,268.9
924.23,269.9
936.97,270.9
939.65,271.9
943.21,272.9
945.37,273.9
